[2025-07-08 13:47:40.865238] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.867005] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.869108] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.870461] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.872016] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.873339] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.875524] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.877332] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.879539] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.881182] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.883514] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.885909] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.906606] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.911273] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.916994] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.922237] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.927323] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.931909] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.936072] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.938996] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.941498] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.945302] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.948143] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.950426] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.953237] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.955957] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.959000] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.962132] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.965859] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.969082] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.972559] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.976015] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.979564] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.983582] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
